2025-04-22 15:02:00,978 INFO    StreamThr :583333 [internal.py:wandb_internal():85] W&B internal server running at pid: 583333, started at: 2025-04-22 15:02:00.978523
2025-04-22 15:02:00,979 DEBUG   HandlerThread:583333 [handler.py:handle_request():158] handle_request: status
2025-04-22 15:02:00,982 INFO    WriterThread:583333 [datastore.py:open_for_write():87] open: /home/levi/Documents/MOORE-TDMPC/moore_tdmpc/logs/walker-walk/42/moore-tdmpc2-mt30/wandb/run-20250422_150200-18m0im7n/run-18m0im7n.wandb
2025-04-22 15:02:00,982 DEBUG   SenderThread:583333 [sender.py:send():379] send: header
2025-04-22 15:02:00,983 DEBUG   SenderThread:583333 [sender.py:send():379] send: run
2025-04-22 15:02:03,287 INFO    SenderThread:583333 [dir_watcher.py:__init__():211] watching files in: /home/levi/Documents/MOORE-TDMPC/moore_tdmpc/logs/walker-walk/42/moore-tdmpc2-mt30/wandb/run-20250422_150200-18m0im7n/files
2025-04-22 15:02:03,287 INFO    SenderThread:583333 [sender.py:_start_run_threads():1188] run started: 18m0im7n with start time 1745305320.978532
2025-04-22 15:02:03,290 DEBUG   HandlerThread:583333 [handler.py:handle_request():158] handle_request: check_version
2025-04-22 15:02:03,290 DEBUG   SenderThread:583333 [sender.py:send_request():406] send_request: check_version
2025-04-22 15:02:04,541 DEBUG   HandlerThread:583333 [handler.py:handle_request():158] handle_request: run_start
2025-04-22 15:02:04,566 DEBUG   HandlerThread:583333 [system_info.py:__init__():26] System info init
2025-04-22 15:02:04,566 DEBUG   HandlerThread:583333 [system_info.py:__init__():41] System info init done
2025-04-22 15:02:04,566 INFO    HandlerThread:583333 [system_monitor.py:start():194] Starting system monitor
2025-04-22 15:02:04,566 INFO    SystemMonitor:583333 [system_monitor.py:_start():158] Starting system asset monitoring threads
2025-04-22 15:02:04,567 INFO    HandlerThread:583333 [system_monitor.py:probe():214] Collecting system info
2025-04-22 15:02:04,567 INFO    SystemMonitor:583333 [interfaces.py:start():188] Started cpu monitoring
2025-04-22 15:02:04,567 INFO    SystemMonitor:583333 [interfaces.py:start():188] Started disk monitoring
2025-04-22 15:02:04,567 INFO    SystemMonitor:583333 [interfaces.py:start():188] Started gpu monitoring
2025-04-22 15:02:04,568 INFO    SystemMonitor:583333 [interfaces.py:start():188] Started memory monitoring
2025-04-22 15:02:04,568 INFO    SystemMonitor:583333 [interfaces.py:start():188] Started network monitoring
2025-04-22 15:02:04,576 DEBUG   HandlerThread:583333 [system_info.py:probe():152] Probing system
2025-04-22 15:02:04,579 DEBUG   HandlerThread:583333 [gitlib.py:_init_repo():56] git repository is invalid
2025-04-22 15:02:04,579 DEBUG   HandlerThread:583333 [system_info.py:probe():200] Probing system done
