2025-04-28 08:13:45,208 INFO    StreamThr :170421 [internal.py:wandb_internal():85] W&B internal server running at pid: 170421, started at: 2025-04-28 08:13:45.208319
2025-04-28 08:13:45,210 DEBUG   HandlerThread:170421 [handler.py:handle_request():158] handle_request: status
2025-04-28 08:13:45,212 INFO    WriterThread:170421 [datastore.py:open_for_write():87] open: /home/levi/Desktop/MOORE-TDMPC/moore_tdmpc/logs/mw-reach/42/moore-tdmpc2-mt30/wandb/run-20250428_081345-c27yk9ol/run-c27yk9ol.wandb
2025-04-28 08:13:45,212 DEBUG   SenderThread:170421 [sender.py:send():379] send: header
2025-04-28 08:13:45,231 DEBUG   SenderThread:170421 [sender.py:send():379] send: run
2025-04-28 08:13:46,524 INFO    SenderThread:170421 [dir_watcher.py:__init__():211] watching files in: /home/levi/Desktop/MOORE-TDMPC/moore_tdmpc/logs/mw-reach/42/moore-tdmpc2-mt30/wandb/run-20250428_081345-c27yk9ol/files
2025-04-28 08:13:46,524 INFO    SenderThread:170421 [sender.py:_start_run_threads():1188] run started: c27yk9ol with start time 1745799225.208243
2025-04-28 08:13:46,528 DEBUG   HandlerThread:170421 [handler.py:handle_request():158] handle_request: check_version
2025-04-28 08:13:46,528 DEBUG   SenderThread:170421 [sender.py:send_request():406] send_request: check_version
2025-04-28 08:13:47,433 DEBUG   HandlerThread:170421 [handler.py:handle_request():158] handle_request: run_start
2025-04-28 08:13:47,456 DEBUG   HandlerThread:170421 [system_info.py:__init__():26] System info init
2025-04-28 08:13:47,456 DEBUG   HandlerThread:170421 [system_info.py:__init__():41] System info init done
2025-04-28 08:13:47,456 INFO    HandlerThread:170421 [system_monitor.py:start():194] Starting system monitor
2025-04-28 08:13:47,456 INFO    SystemMonitor:170421 [system_monitor.py:_start():158] Starting system asset monitoring threads
2025-04-28 08:13:47,456 INFO    HandlerThread:170421 [system_monitor.py:probe():214] Collecting system info
2025-04-28 08:13:47,456 INFO    SystemMonitor:170421 [interfaces.py:start():188] Started cpu monitoring
2025-04-28 08:13:47,456 INFO    SystemMonitor:170421 [interfaces.py:start():188] Started disk monitoring
2025-04-28 08:13:47,457 INFO    SystemMonitor:170421 [interfaces.py:start():188] Started gpu monitoring
2025-04-28 08:13:47,457 INFO    SystemMonitor:170421 [interfaces.py:start():188] Started memory monitoring
2025-04-28 08:13:47,458 INFO    SystemMonitor:170421 [interfaces.py:start():188] Started network monitoring
2025-04-28 08:13:47,482 DEBUG   HandlerThread:170421 [system_info.py:probe():152] Probing system
2025-04-28 08:13:47,485 DEBUG   HandlerThread:170421 [system_info.py:_probe_git():137] Probing git
2025-04-28 08:13:47,490 DEBUG   HandlerThread:170421 [system_info.py:_probe_git():145] Probing git done
2025-04-28 08:13:47,490 DEBUG   HandlerThread:170421 [system_info.py:probe():200] Probing system done
