2025-04-23 11:44:53,508 INFO    StreamThr :2013473 [internal.py:wandb_internal():85] W&B internal server running at pid: 2013473, started at: 2025-04-23 11:44:53.507756
2025-04-23 11:44:53,509 DEBUG   HandlerThread:2013473 [handler.py:handle_request():158] handle_request: status
2025-04-23 11:44:53,511 INFO    WriterThread:2013473 [datastore.py:open_for_write():87] open: /home/levi/Desktop/MOORE-TDMPC/moore_tdmpc/logs/mw-reach/42/moore-tdmpc2-mt30/wandb/run-20250423_114453-ftpuvp2h/run-ftpuvp2h.wandb
2025-04-23 11:44:53,511 DEBUG   SenderThread:2013473 [sender.py:send():379] send: header
2025-04-23 11:44:53,512 DEBUG   SenderThread:2013473 [sender.py:send():379] send: run
2025-04-23 11:44:54,882 INFO    SenderThread:2013473 [dir_watcher.py:__init__():211] watching files in: /home/levi/Desktop/MOORE-TDMPC/moore_tdmpc/logs/mw-reach/42/moore-tdmpc2-mt30/wandb/run-20250423_114453-ftpuvp2h/files
2025-04-23 11:44:54,883 INFO    SenderThread:2013473 [sender.py:_start_run_threads():1188] run started: ftpuvp2h with start time 1745379893.507789
2025-04-23 11:44:54,886 DEBUG   HandlerThread:2013473 [handler.py:handle_request():158] handle_request: check_version
2025-04-23 11:44:54,886 DEBUG   SenderThread:2013473 [sender.py:send_request():406] send_request: check_version
2025-04-23 11:44:55,828 DEBUG   HandlerThread:2013473 [handler.py:handle_request():158] handle_request: run_start
2025-04-23 11:44:55,850 DEBUG   HandlerThread:2013473 [system_info.py:__init__():26] System info init
2025-04-23 11:44:55,856 DEBUG   HandlerThread:2013473 [system_info.py:__init__():41] System info init done
2025-04-23 11:44:55,856 INFO    HandlerThread:2013473 [system_monitor.py:start():194] Starting system monitor
2025-04-23 11:44:55,856 INFO    SystemMonitor:2013473 [system_monitor.py:_start():158] Starting system asset monitoring threads
2025-04-23 11:44:55,857 INFO    HandlerThread:2013473 [system_monitor.py:probe():214] Collecting system info
2025-04-23 11:44:55,857 INFO    SystemMonitor:2013473 [interfaces.py:start():188] Started cpu monitoring
2025-04-23 11:44:55,857 INFO    SystemMonitor:2013473 [interfaces.py:start():188] Started disk monitoring
2025-04-23 11:44:55,858 INFO    SystemMonitor:2013473 [interfaces.py:start():188] Started gpu monitoring
2025-04-23 11:44:55,858 INFO    SystemMonitor:2013473 [interfaces.py:start():188] Started memory monitoring
2025-04-23 11:44:55,858 INFO    SystemMonitor:2013473 [interfaces.py:start():188] Started network monitoring
